ensembl_gene_id,hgnc_symbol,description
ENSG00000065371,ROPN1,rhophilin associated tail protein 1 [Source:HGNC Symbol;Acc:HGNC:17692]
ENSG00000066032,CTNNA2,catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]
ENSG00000069482,GAL,galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]
ENSG00000071677,PRLH,prolactin releasing hormone [Source:HGNC Symbol;Acc:HGNC:17945]
ENSG00000071909,MYO3B,myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]
ENSG00000071991,CDH19,cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]
ENSG00000072041,SLC6A15,solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]
ENSG00000073792,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]
ENSG00000074803,SLC12A1,solute carrier family 12 member 1 [Source:HGNC Symbol;Acc:HGNC:10910]
ENSG00000075043,KCNQ2,potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]
ENSG00000077009,NMRK2,nicotinamide riboside kinase 2 [Source:HGNC Symbol;Acc:HGNC:17871]
ENSG00000077522,ACTN2,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]
ENSG00000077935,SMC1B,structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]
ENSG00000078018,MAP2,microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]
ENSG00000081041,CXCL2,C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]
ENSG00000081985,IL12RB2,interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]
ENSG00000082556,OPRK1,opioid receptor kappa 1 [Source:HGNC Symbol;Acc:HGNC:8154]
ENSG00000084674,APOB,apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]
ENSG00000087128,TMPRSS11E,transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]
ENSG00000087250,MT3,metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]
ENSG00000088386,SLC15A1,solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]
ENSG00000088538,DOCK3,dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]
ENSG00000089116,LHX5,LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]
ENSG00000090512,FETUB,fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]
ENSG00000091129,NRCAM,neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]
ENSG00000091482,SMPX,small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]
ENSG00000091651,ORC6,origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]
ENSG00000092758,COL9A3,collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
ENSG00000094755,GABRP,gamma-aminobutyric acid type A receptor subunit pi [Source:HGNC Symbol;Acc:HGNC:4089]
ENSG00000094796,KRT31,keratin 31 [Source:HGNC Symbol;Acc:HGNC:6448]
ENSG00000095777,MYO3A,myosin IIIA [Source:HGNC Symbol;Acc:HGNC:7601]
ENSG00000096006,CRISP3,cysteine rich secretory protein 3 [Source:HGNC Symbol;Acc:HGNC:16904]
ENSG00000099725,PRKY,protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444]
ENSG00000100121,GGTLC2,gamma-glutamyltransferase light chain 2 [Source:HGNC Symbol;Acc:HGNC:18596]
ENSG00000100167,SEPTIN3,septin 3 [Source:HGNC Symbol;Acc:HGNC:10750]
ENSG00000100344,PNPLA3,patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590]
ENSG00000100362,PVALB,parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]
ENSG00000100604,CHGA,chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]
ENSG00000100867,DHRS2,dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]
ENSG00000101057,MYBL2,MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]
ENSG00000101074,R3HDML,R3H domain containing like [Source:HGNC Symbol;Acc:HGNC:16249]
ENSG00000101098,RIMS4,regulating synaptic membrane exocytosis 4 [Source:HGNC Symbol;Acc:HGNC:16183]
ENSG00000101282,RSPO4,R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]
ENSG00000101292,PROKR2,prokineticin receptor 2 [Source:HGNC Symbol;Acc:HGNC:15836]
ENSG00000101311,FERMT1,fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]
ENSG00000101323,HAO1,hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]
ENSG00000101425,BPI,bactericidal permeability increasing protein [Source:HGNC Symbol;Acc:HGNC:1095]
ENSG00000101489,CELF4,CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]
ENSG00000102021,LUZP4,leucine zipper protein 4 [Source:HGNC Symbol;Acc:HGNC:24971]
ENSG00000102109,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]
ENSG00000102243,VGLL1,vestigial like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]
ENSG00000102290,PCDH11X,protocadherin 11 X-linked [Source:HGNC Symbol;Acc:HGNC:8656]
ENSG00000102794,ACOD1,aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]
ENSG00000102854,MSLN,mesothelin [Source:HGNC Symbol;Acc:HGNC:7371]
ENSG00000103355,PRSS33,serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405]
ENSG00000103546,SLC6A2,solute carrier family 6 member 2 [Source:HGNC Symbol;Acc:HGNC:11048]
ENSG00000104044,OCA2,OCA2 melanosomal transmembrane protein [Source:HGNC Symbol;Acc:HGNC:8101]
ENSG00000104112,SCG3,secretogranin III [Source:HGNC Symbol;Acc:HGNC:13707]
ENSG00000104371,DKK4,dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]
ENSG00000105131,EPHX3,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]
ENSG00000105141,CASP14,caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]
ENSG00000105143,SLC1A6,solute carrier family 1 member 6 [Source:HGNC Symbol;Acc:HGNC:10944]
ENSG00000105173,CCNE1,cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]
ENSG00000105205,CLC,Charcot-Leyden crystal galectin [Source:HGNC Symbol;Acc:HGNC:2014]
ENSG00000105641,SLC5A5,solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]
ENSG00000105825,TFPI2,tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]
ENSG00000105877,DNAH11,dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]
ENSG00000105894,PTN,pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]
ENSG00000106013,ANKRD7,ankyrin repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:18588]
ENSG00000107159,CA9,carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]
ENSG00000107295,SH3GL2,"SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]"
ENSG00000107807,TLX1,T cell leukemia homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5056]
ENSG00000107984,DKK1,dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]
ENSG00000108342,CSF3,colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]
ENSG00000108551,RASD1,ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]
ENSG00000108688,CCL7,C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]
ENSG00000109158,GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4 [Source:HGNC Symbol;Acc:HGNC:4078]
ENSG00000109181,UGT2B10,UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544]
ENSG00000109208,SMR3A,submaxillary gland androgen regulated protein 3A [Source:HGNC Symbol;Acc:HGNC:19216]
ENSG00000109424,UCP1,uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517]
ENSG00000110148,CCKBR,cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]
ENSG00000110169,HPX,hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]
ENSG00000110203,FOLR3,folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795]
ENSG00000110245,APOC3,apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]
ENSG00000110693,SOX6,SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421]
ENSG00000110975,SYT10,synaptotagmin 10 [Source:HGNC Symbol;Acc:HGNC:19266]
ENSG00000111249,CUX2,cut like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:19347]
ENSG00000111404,RERGL,RERG like [Source:HGNC Symbol;Acc:HGNC:26213]
ENSG00000111700,SLCO1B3,solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961]
ENSG00000111704,NANOG,Nanog homeobox [Source:HGNC Symbol;Acc:HGNC:20857]
ENSG00000111713,GYS2,glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707]
ENSG00000111732,AICDA,activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]
ENSG00000112238,PRDM13,PR/SET domain 13 [Source:HGNC Symbol;Acc:HGNC:13998]
ENSG00000112333,NR2E1,nuclear receptor subfamily 2 group E member 1 [Source:HGNC Symbol;Acc:HGNC:7973]
ENSG00000113296,THBS4,thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]
ENSG00000113946,CLDN16,claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]
ENSG00000114204,SERPINI2,serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945]
ENSG00000114547,ROPN1B,rhophilin associated tail protein 1B [Source:HGNC Symbol;Acc:HGNC:31927]
ENSG00000114805,PLCH1,phospholipase C eta 1 [Source:HGNC Symbol;Acc:HGNC:29185]
ENSG00000115592,PRKAG3,protein kinase AMP-activated non-catalytic subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:9387]
ENSG00000115596,WNT6,Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]
ENSG00000115844,DLX2,distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915]
ENSG00000115850,LCT,lactase [Source:HGNC Symbol;Acc:HGNC:6530]
ENSG00000116675,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]
ENSG00000116748,AMPD1,adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]
ENSG00000116996,ZP4,zona pellucida glycoprotein 4 [Source:HGNC Symbol;Acc:HGNC:15770]
ENSG00000117115,PADI2,peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]
ENSG00000117148,ACTL8,actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]
ENSG00000118702,GHRH,growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]
ENSG00000119147,ECRG4,ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]
ENSG00000120068,HOXB8,homeobox B8 [Source:HGNC Symbol;Acc:HGNC:5119]
ENSG00000120289,MAGEB4,MAGE family member B4 [Source:HGNC Symbol;Acc:HGNC:6811]
ENSG00000120563,LYZL1,lysozyme like 1 [Source:HGNC Symbol;Acc:HGNC:30502]
ENSG00000120738,EGR1,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]
ENSG00000120907,ADRA1A,adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]
ENSG00000121039,RDH10,retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]
ENSG00000122133,PAEP,progestagen associated endometrial protein [Source:HGNC Symbol;Acc:HGNC:8573]
ENSG00000122585,NPY,neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]
ENSG00000122733,PHF24,PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]
ENSG00000123358,NR4A1,nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]
ENSG00000123407,HOXC12,homeobox C12 [Source:HGNC Symbol;Acc:HGNC:5124]
ENSG00000123977,DAW1,dynein assembly factor with WD repeats 1 [Source:HGNC Symbol;Acc:HGNC:26383]
ENSG00000124102,PI3,peptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:8947]
ENSG00000124107,SLPI,secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]
ENSG00000124134,KCNS1,potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]
ENSG00000124143,ARHGAP40,Rho GTPase activating protein 40 [Source:HGNC Symbol;Acc:HGNC:16226]
ENSG00000124159,MATN4,matrilin 4 [Source:HGNC Symbol;Acc:HGNC:6910]
ENSG00000124205,EDN3,endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]
ENSG00000124253,PCK1,phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]
ENSG00000124391,IL17C,interleukin 17C [Source:HGNC Symbol;Acc:HGNC:5983]
ENSG00000124575,H1-3,"H1.3 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4717]"
ENSG00000124610,H1-1,"H1.1 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4715]"
ENSG00000124635,H2BC11,H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]
ENSG00000125740,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"
ENSG00000125798,FOXA2,forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]
ENSG00000125823,CSTL1,cystatin like 1 [Source:HGNC Symbol;Acc:HGNC:15958]
ENSG00000125831,CST11,cystatin 11 [Source:HGNC Symbol;Acc:HGNC:15959]
ENSG00000125851,PCSK2,proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]
ENSG00000125872,LRRN4,leucine rich repeat neuronal 4 [Source:HGNC Symbol;Acc:HGNC:16208]
ENSG00000125965,GDF5,growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]
ENSG00000126545,CSN1S1,casein alpha s1 [Source:HGNC Symbol;Acc:HGNC:2445]
ENSG00000126562,WNK4,WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]
ENSG00000126895,AVPR2,arginine vasopressin receptor 2 [Source:HGNC Symbol;Acc:HGNC:897]
ENSG00000127743,IL17B,interleukin 17B [Source:HGNC Symbol;Acc:HGNC:5982]
ENSG00000127928,GNGT1,G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]
ENSG00000129988,LBP,lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]
ENSG00000130234,ACE2,angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]
ENSG00000130294,KIF1A,kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888]
ENSG00000130561,SAG,S-antigen visual arrestin [Source:HGNC Symbol;Acc:HGNC:10521]
ENSG00000130595,TNNT3,"troponin T3, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11950]"
ENSG00000131019,ULBP3,UL16 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:14895]
ENSG00000131203,IDO1,"indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]"
ENSG00000131686,CA6,carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]
ENSG00000131737,KRT34,keratin 34 [Source:HGNC Symbol;Acc:HGNC:6452]
ENSG00000132204,LINC00470,long intergenic non-protein coding RNA 470 [Source:HGNC Symbol;Acc:HGNC:1225]
ENSG00000132437,DDC,dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]
ENSG00000133019,CHRM3,cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]
ENSG00000133069,TMCC2,transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]
ENSG00000133124,IRS4,insulin receptor substrate 4 [Source:HGNC Symbol;Acc:HGNC:6128]
ENSG00000133392,MYH11,myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]
ENSG00000133488,SEC14L4,SEC14 like lipid binding 4 [Source:HGNC Symbol;Acc:HGNC:20627]
ENSG00000133636,NTS,neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]
ENSG00000133863,TEX15,"testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]"
ENSG00000133980,VRTN,vertebrae development associated [Source:HGNC Symbol;Acc:HGNC:20223]
ENSG00000134020,PEBP4,phosphatidylethanolamine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:28319]
ENSG00000134438,RAX,retina and anterior neural fold homeobox [Source:HGNC Symbol;Acc:HGNC:18662]
ENSG00000134824,FADS2,fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]
ENSG00000134827,TCN1,transcobalamin 1 [Source:HGNC Symbol;Acc:HGNC:11652]
ENSG00000135069,PSAT1,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]
ENSG00000135116,HRK,"harakiri, BCL2 interacting protein [Source:HGNC Symbol;Acc:HGNC:5185]"
ENSG00000135220,UGT2A3,UDP glucuronosyltransferase family 2 member A3 [Source:HGNC Symbol;Acc:HGNC:28528]
ENSG00000135222,CSN2,casein beta [Source:HGNC Symbol;Acc:HGNC:2447]
ENSG00000135226,UGT2B28,UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]
ENSG00000135346,CGA,"glycoprotein hormones, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:1885]"
ENSG00000135374,ELF5,E74 like ETS transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3320]
ENSG00000135413,LACRT,lacritin [Source:HGNC Symbol;Acc:HGNC:16430]
ENSG00000135443,KRT85,keratin 85 [Source:HGNC Symbol;Acc:HGNC:6462]
ENSG00000135625,EGR4,early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]
ENSG00000136099,PCDH8,protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]
ENSG00000136244,IL6,interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]
ENSG00000136352,NKX2-1,NK2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11825]
ENSG00000136535,TBR1,T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590]
ENSG00000136688,IL36G,interleukin 36 gamma [Source:HGNC Symbol;Acc:HGNC:15741]
ENSG00000136694,IL36A,interleukin 36 alpha [Source:HGNC Symbol;Acc:HGNC:15562]
ENSG00000136695,IL36RN,interleukin 36 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:15561]
ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]
ENSG00000137090,DMRT1,doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]
ENSG00000137142,IGFBPL1,insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]
ENSG00000137204,SLC22A7,solute carrier family 22 member 7 [Source:HGNC Symbol;Acc:HGNC:10971]
ENSG00000137440,FGFBP1,fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]
ENSG00000137648,TMPRSS4,transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]
ENSG00000137673,MMP7,matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]
ENSG00000138083,SIX3,SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889]
ENSG00000138136,LBX1,ladybird homeobox 1 [Source:HGNC Symbol;Acc:HGNC:16960]
ENSG00000138622,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882]
ENSG00000138675,FGF5,fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]
ENSG00000139151,PLCZ1,phospholipase C zeta 1 [Source:HGNC Symbol;Acc:HGNC:19218]
ENSG00000139219,COL2A1,collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]
ENSG00000139292,LGR5,leucine rich repeat containing G protein-coupled receptor 5 [Source:HGNC Symbol;Acc:HGNC:4504]
ENSG00000139304,PTPRQ,protein tyrosine phosphatase receptor type Q [Source:HGNC Symbol;Acc:HGNC:9679]
ENSG00000139797,RNF113B,ring finger protein 113B [Source:HGNC Symbol;Acc:HGNC:17267]
ENSG00000139915,MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835]
ENSG00000140519,RHCG,Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]
ENSG00000140522,RLBP1,retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024]
ENSG00000140600,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3 [Source:HGNC Symbol;Acc:HGNC:10832]"
ENSG00000140835,CHST4,carbohydrate sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:1972]
ENSG00000141639,MAPK4,mitogen-activated protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:6878]
ENSG00000142224,IL19,interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]
ENSG00000142449,FBN3,fibrillin 3 [Source:HGNC Symbol;Acc:HGNC:18794]
ENSG00000142515,KLK3,kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]
ENSG00000142609,CFAP74,cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]
ENSG00000142619,PADI3,peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]
ENSG00000142698,C1orf94,chromosome 1 open reading frame 94 [Source:HGNC Symbol;Acc:HGNC:28250]
ENSG00000142700,DMRTA2,DMRT like family A2 [Source:HGNC Symbol;Acc:HGNC:13908]
ENSG00000143032,BARHL2,BarH like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:954]
ENSG00000143125,PROK1,prokineticin 1 [Source:HGNC Symbol;Acc:HGNC:18454]
ENSG00000143318,CASQ1,calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]
ENSG00000143452,HORMAD1,HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]
ENSG00000143536,CRNN,cornulin [Source:HGNC Symbol;Acc:HGNC:1230]
ENSG00000143546,S100A8,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]
ENSG00000143556,S100A7,S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:HGNC:10497]
ENSG00000143595,AQP10,aquaporin 10 [Source:HGNC Symbol;Acc:HGNC:16029]
ENSG00000144015,TRIM43,tripartite motif containing 43 [Source:HGNC Symbol;Acc:HGNC:19015]
ENSG00000144045,DQX1,DEAQ-box RNA dependent ATPase 1 [Source:HGNC Symbol;Acc:HGNC:20410]
ENSG00000144278,GALNT13,polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]
ENSG00000144285,SCN1A,sodium voltage-gated channel alpha subunit 1 [Source:HGNC Symbol;Acc:HGNC:10585]
ENSG00000144339,TMEFF2,transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]
ENSG00000144481,TRPM8,transient receptor potential cation channel subfamily M member 8 [Source:HGNC Symbol;Acc:HGNC:17961]
ENSG00000144771,LRTM1,leucine rich repeats and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:25023]
ENSG00000144908,ALDH1L1,aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]
ENSG00000145063,,novel transcript
ENSG00000145321,GC,GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]
ENSG00000145451,GLRA3,glycine receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4328]
ENSG00000145681,HAPLN1,hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]
ENSG00000146090,RASGEF1C,RasGEF domain family member 1C [Source:HGNC Symbol;Acc:HGNC:27400]
ENSG00000146453,PNLDC1,"PARN like, ribonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21185]"
ENSG00000146857,STRA8,stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653]
ENSG00000147160,AWAT2,acyl-CoA wax alcohol acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23251]
ENSG00000147381,MAGEA4,MAGE family member A4 [Source:HGNC Symbol;Acc:HGNC:6802]
